"","gu","day","value"
"749","강북구",2010-01-19,2
"750","강북구",2010-01-20,2
"751","강북구",2010-01-21,9
"752","강북구",2010-01-22,6
"753","강북구",2010-01-23,6
"754","강북구",2010-01-24,2
"755","강북구",2010-01-25,1
"756","강북구",2010-01-26,2
"757","강북구",2010-01-27,2
"758","강북구",2010-01-28,1
"759","강북구",2010-01-29,5
"760","강북구",2010-01-30,3
"761","강북구",2010-01-31,3
"762","강북구",2010-02-01,5
"763","강북구",2010-02-02,2
"764","강북구",2010-02-03,4
"765","강북구",2010-02-04,0
"766","강북구",2010-02-05,4
"767","강북구",2010-02-06,4
"768","강북구",2010-02-07,4
"769","강북구",2010-02-08,4
"770","강북구",2010-02-09,2
"771","강북구",2010-02-10,0
"772","강북구",2010-02-11,5
"773","강북구",2010-02-12,4
"774","강북구",2010-02-13,5
"775","강북구",2010-02-14,2
"776","강북구",2010-02-15,5
"777","강북구",2010-02-16,2
"778","강북구",2010-02-17,1
"779","강북구",2010-02-18,2
"780","강북구",2010-02-19,4
"781","강북구",2010-02-20,5
"782","강북구",2010-02-21,4
"783","강북구",2010-02-22,2
"784","강북구",2010-02-23,2
"785","강북구",2010-02-24,8
"786","강북구",2010-02-25,4
"787","강북구",2010-02-26,1
"788","강북구",2010-02-27,5
"789","강북구",2010-02-28,3
"790","강북구",2010-03-01,5
"791","강북구",2010-03-02,4
"792","강북구",2010-03-03,3
"793","강북구",2010-03-04,2
"794","강북구",2010-03-05,2
"795","강북구",2010-03-06,3
"796","강북구",2010-03-07,4
"797","강북구",2010-03-08,0
"798","강북구",2010-03-09,3
"799","강북구",2010-03-10,6
"800","강북구",2010-03-11,3
"801","강북구",2010-03-12,5
"802","강북구",2010-03-13,8
"803","강북구",2010-03-14,4
"804","강북구",2010-03-15,1
"805","강북구",2010-03-16,4
"806","강북구",2010-03-17,2
"807","강북구",2010-03-18,10
"808","강북구",2010-03-19,7
"809","강북구",2010-03-20,6
"810","강북구",2010-03-21,3
"811","강북구",2010-03-22,1
"812","강북구",2010-03-23,5
"813","강북구",2010-03-24,3
"814","강북구",2010-03-25,6
"815","강북구",2010-03-26,3
"816","강북구",2010-03-27,6
"817","강북구",2010-03-28,0
"818","강북구",2010-03-29,3
"819","강북구",2010-03-30,4
"820","강북구",2010-03-31,4
"821","강북구",2010-04-01,8
"822","강북구",2010-04-02,1
"823","강북구",2010-04-03,3
"824","강북구",2010-04-04,1
"825","강북구",2010-04-05,4
"826","강북구",2010-04-06,2
"827","강북구",2010-04-07,5
"828","강북구",2010-04-08,3
"829","강북구",2010-04-09,7
"830","강북구",2010-04-10,5
"831","강북구",2010-04-11,3
"832","강북구",2010-04-12,4
"833","강북구",2010-04-13,3
"834","강북구",2010-04-14,5
"835","강북구",2010-04-15,1
"836","강북구",2010-04-16,4
"837","강북구",2010-04-17,4
"838","강북구",2010-04-18,3
"839","강북구",2010-04-19,6
"840","강북구",2010-04-20,1
"841","강북구",2010-04-21,4
"842","강북구",2010-04-22,4
"843","강북구",2010-04-23,5
"844","강북구",2010-04-24,4
"845","강북구",2010-04-25,0
"846","강북구",2010-04-26,5
"847","강북구",2010-04-27,5
"848","강북구",2010-04-28,4
"849","강북구",2010-04-29,6
"850","강북구",2010-04-30,2
"851","강북구",2010-05-01,1
"852","강북구",2010-05-02,10
"853","강북구",2010-05-03,2
"854","강북구",2010-05-04,4
"855","강북구",2010-05-05,5
"856","강북구",2010-05-06,2
"857","강북구",2010-05-07,5
"858","강북구",2010-05-08,2
"859","강북구",2010-05-09,4
"860","강북구",2010-05-10,2
"861","강북구",2010-05-11,5
"862","강북구",2010-05-12,2
"863","강북구",2010-05-13,6
"864","강북구",2010-05-14,4
"865","강북구",2010-05-15,5
"866","강북구",2010-05-16,1
"867","강북구",2010-05-17,3
"868","강북구",2010-05-18,5
"869","강북구",2010-05-19,7
"870","강북구",2010-05-20,1
"871","강북구",2010-05-21,4
